0031+62B  91 VAR? S 
0031+79   Y CEP     
0032+45   BZ AND    
0032+56   FX CAS    
0032+60   KP CAS    
0034+55   ALPHA CAS 
0034+79   NSV 251   
0035+42   HV AND    
0035-34   Z SCL     
0036+26   LL AND    
0037+40   S AND     
0037-10   AI CET    
0039+40   EG AND    
0039+52   V720 CAS  
0040+47   U CAS     
0041+14   NSV 293   
0041+32   RW AND    
0041+81   RX CEP    
0043+56   NSV 305   
0043+56B  GX CAS    
0044+35   V AND     
0044+35B  120 VAR? E
0044+59   XY CAS    
0044-35   X SCL     
0045+33   RR AND    
0045+62   VY CAS    
0045-10   OB-081 CET
0046+53   V452 CAS  
0046+59   V451 CAS  
0047+46A  RV CAS    
0047+46B  IZ CAS    
0047+49   NSV 332   
0048+12   MARK 1502 
0049+23   NSV 343   
0049+58   W CAS     
0049-70   TZ TUC    
0050+59   LD 90     
0050+60   GAMMA CAS 
0053+59   IV AND    
0053+60   AV CAS    
0053+63   LD 93     
0054+27   W PSC     
0054+27B  VAR E     
0054+27C  VAR? E    
0054+56   HL CAS    
0054-75   U TUC     
0056+59   SAO 21947 
0056-08   SN 1998DN 
0056-72   HD 5980   
0057+45   EH AND    
0057-72   RY TUC    
0058+31   SN 1998EF 
0058+40   RX AND    
0058+40B  NSV 389   
0058+40C  133 COMP N
0058+40D  121 COMP S
0059+07   70 PSC    
0059+53   V723 CAS  
0059+53B  104 COMP W
0059+53C  83 VAR? E 
0059+53D  116 VAR? S
0100+53   V456 CAS  
0100+63   V487 CAS  
0101+42   IZ AND    
0101+45   EI AND    
0101+53   V417 CAS  
0101-02   Z CET     
0101-02B  138 COMP W
0103+59   HT CAS    
0103+59B  115 COMP S
0104+27   RZ PSC    
0104+27B  VAR PSC   
0104+35   BETA AND  
0105+01   NSV 422   
0105+03   XY PSC    
0105+53   HV CAS    
0105+64   RU CAS    
0106+21A  X PSC     
0106+21B  UX PSC    
0106+21C  VAR? SW   
0106+21D  145 COMP S
0106+34   FN AND    
0106+61   V418 CAS  
0106-14   AM CET    
0106-30   U SCL     
0107+57   NSV 436   
0108+26   RT PSC    
0108+26B  86 COMP SE
0108+63   LD 96     
0108+84   RU CEP    
0109+37   FO AND    
0109+40   U AND     
0109+40B  STAR SW   
0109+40C  96 COMP N 
0109-02   AN CET    
0109-57   RS PHE    
0110+25   Z PSC     
0110+41A  UZ AND    
0110+41B  EK AND    
0110+55A  VZ CAS    
0111+58   BQ CAS    
0111+61   V538 CAS  
0111-18   WX CET    
0112+08   S PSC     
0112+57   V465 CAS  
0112+63   V635 CAS  
0112+63B  ISV0115+63
0112+65   250114+650
0112+72   S CAS     
0113+55   AA CAS    
0113+79   AE CEP    
0115-56   W PHE     
0116+09   AH PSC    
0116+38   TX AND    
0116+60   XZ CAS    
0117+06   AR PSC    
0117+12   U PSC     
0117+12B  VAR? PSC  
0117+24   TZ PSC    
0118+21   RW PSC    
0118+60   BT CAS    
0119+59   DELTA CAS 
0120+20   RX PSC    
0120+20B  VAR? S    
0120+31   TY PSC    
0120-04   NSV 504   
0121-06   SN 1998DM 
0122+16   ST PSC    
0122+30   AS PSC    
0122+49   EM AND    
0122+61   V390 CAS  
0122+88   ALPHA UMI 
0122-33   R SCL     
0122-33B  RS SCL    
0123+50   RZ PER    
0124+57   KU CAS    
0124+57B  VAR? CAS  
0124+57C  VAR? CAS  
0125+02   R PSC     
0125+35   RXJ0131.4+
0126+30   TU TRI    
0126+30B  NSV 534   
0126-43   SY PHE    
0127+46   SX AND    
0127+46B  VAR? SW   
0127+57   WW CAS    
0129-43   SZ PHE    
0130+31   TW TRI    
0130+50   KT PER    
0130+50B  129 VAR? N
0130+53   AX PER    
0130+57   RW CAS    
0131+11   PI PSC    
0131+29   TX TRI    
0131+55   PT CAS    
0131-75   RY HYI    
0132+05   SN 1998ES 
0132+38   RU AND    
0133+00   SW CET    
0133+00B  99 VAR? SW
0133+38   Y AND     
0133+60   V770 CAS  
0134-18   UV CET    
0136+47   NSV 596   
0136+59   LD 100    
0137+48   NSV 602   
0137+50   PHI PER   
0137-68   BL HYI    
0139+37   AR AND    
0139+37B  SUSP RIP  
0139+37C  OW AND    
0141+18   SV PSC    
0142-75   R50       
0143+11   SN 673    
0144+53   TT PER    
0144+59   VV CAS    
0144-05   AQ CET    
0146+67   NSV 650   
0147+63   EPS CAS   
0148+69   V391 CAS  
0149+58   X CAS     
0149+58B  110 COMP E
0149-49   RT PHE    
0150+23   RR ARI    
0151+33   T TRI     
0151+54   V437 PER  
0152+33   UZ TRI    
0152+52   V471 PER  
0152+54   U PER     
0152+54B  87 VAR? SW
0152+54C  90 COMP SW
0152-68   ETA1 HYI  
0153+44   V370 AND  
0154+57   V666 CAS  
0154+58   LD 102    
0154+70   V393 CAS  
0155+05   TT PSC    
0155+56   V PER     
0155+57   TY PER    
0156+02   NSV 705   
0156+54   XX PER    
0157+15   RY ARI    
0157+32   NSV 707   
0159+12   S ARI     
0159+40   AH AND    
0159+56   CN PER    
0200+57   VX PER    
0201+14   TT ARI    
0201+14B  93 VAR? SW
0201+22   KAPPA ARI 
0201-10   UZ CET    
0201-78   TV HYI    
0202+27   Z TRI     
0202-57   Y ERI     
0203+56A  UV PER    
0203+56B  KK PER    
0203+56E  136 COMP W
0204+48   RV AND    
0205+56   UW PER    
0206+57A  TZ PER    
0206+57B  VAR NE    
0207-63   WX HYI    
0208+57   HD 13658  
0209+11   V ARI     
0209+56   V356 PER  
0209+78   AG CEP    
0209-01   MARK 590  
0210+24   R ARI     
0210+24B  123 COMP E
0210+56   CSV 5971  
0210+58   PP PER    
0210+58B  VAR? PER  
0211+37   AK 79 AND 
0211+40   KV AND    
0211+43A  W AND     
0211+43B  127 VAR? S
0211+43C  97 VAR? E 
0211+43D  VAR? NE   
0211+49   TAVJ0218+5
0211+56   BU PER    
0211+63   NSV 783   
0211+78   NSV 786   
0211-10   NSV 768   
0211-20   RY CET    
0212+58   T PER     
0212+81   Z CEP     
0213+56A  AD PER    
0213+56B  FZ PER    
0213+56C  NSV 809   
0213+59   HD 14242  
0214+56   V424 PER  
0214+57   PR PER    
0214-03   OMI CET   
0215+31   RT TRI    
0215+44   VAR X     
0215+56A  RS PER    
0215+56B  SU PER    
0215+58   S PER     
0215+58B  83 VAR? N 
0215+58C  VAR? SE   
0215+58D  VAR? W    
0215+58E  VAR? S    
0215+58F  VAR? NE   
0215+58G  VAR? SSE  
0215+58H  62 COMP SW
0215+58I  89 COMP W 
0216+42   3C 66A    
0216+56A  V361 PER  
0216+56B  V439 PER  
0217+70   AM CAS    
0217-10   TZ CET    
0218+57   HD 14826  
0219+27   RW TRI    
0219+32   WY TRI    
0219+37   BI AND    
0219+59   SZ CAS    
0219-79   SY HYI    
0220+37   FS AND    
0220-00   R CET     
0220-00B  114 COMP S
0221+32A  S TRI     
0221+32B  - TRI NW  
0221+32C  VAR? NE   
0221+32D  - TRI SE  
0221+50   RR PER    
0222-00   RS CET    
0222-60   S HOR     
0223+39   PQ AND    
0223+62   V676 CAS  
0224+45   CQ AND    
0224-26   R FOR     
0226+46   AX AND    
0226+46B  116 COMP S
0226-69   NSV 840   
0227+45   UX AND    
0227-41   X ERI     
0228+55   DY PER    
0228-13   U CET     
0228-13B  73 COMP SE
0228-13C  VAR? NW   
0229+40   KW AND    
0229+80   RR CEP    
0231+33   R TRI     
0231+33B  106 COMP W
0231+33C  15 TRI    
0231+33D  NSV 860   
0231+33E  92 COMP W 
0231+33F  67 COMP NW
0231+56   YZ PER    
0231-07   SN 991    
0232+38A  UY AND    
0232+38B  VAR? W    
0232+38C  BD 38 526 
0232+60   V615 CAS  
0232+60B  VAR SW    
0233+16   AO 0235+16
0233-63   RS HOR    
0234+61   GT0236+610
0235+30   Y ARI     
0235+34   W TRI     
0235+42   NSV 895   
0235+60   MWC 56    
0235-54   SW HOR    
0236+35   PU PER    
0236+37   PV PER    
0236-01   NSV 893   
0237+35   TV PER    
0237+35B  110 COMP N
0237+36   NGC 1058  
0237-00   NGC 1068  
0238-26   X FOR     
0239+11   RU ARI    
0239+33   UW TRI    
0240-29   ST FOR    
0241+34   V368 PER  
0241+36   TX PER    
0241+39   AH PER    
0241+57   NSV 929   
0241-00   SN 1087   
0241-08   SN 1084   
0242+10   WX ARI    
0242+16   SU ARI    
0242+17   T ARI     
0242+17B  NSV 931   
0242+17C  NSV 937   
0242+17D  NSV 944   
0242+37   AI PER    
0242-13   CU ERI    
0243+37   PY PER    
0243+56A  W PER     
0243+56B  EO PER    
0243+56C  VAR? S    
0243+56D  VAR? E    
0243+56E  110 COMP E
0243+57   V648 CAS  
0243+68   SU CAS    
0243-12   Z ERI     
0243-64   RU HOR    
0244+38   IN PER    
0244+56   ZZ PER    
0244+58   V502 CAS  
0245-59   X HOR     
0246+36   PZ PER    
0247+52   TAU PER   
0247-08   RR ERI    
0249-38   SY FOR    
0250+17   RZ ARI    
0250+36   V372 PER  
0250-50   R HOR     
0253+42   IV PER    
0253+43   AE PER    
0254+69   NSV 1020  
0254-13   DR ERI    
0255+48   AL PER    
0255+64   -CAS1     
0255+64B  V664 CAS  
0257-51   T HOR     
0258+38   RHO PER   
0259+19   RT ARI    
0259+19B  STAR B NE 
0259+19C  STAR E E  
0259+19D  STAR F SE 
0300+46   V400 PER  
0300+46B  VAR NW    
0300+46C  133 COMP N
0300+46D  135 COMP S
0300+46E  137 COMP S
0301+40   BETA PER  
0301-59   V HOR     
0302+26   Z ARI     
0303+45   V409 PER  
0304+13   ST ARI    
0304+57   V623 CAS  
0305+14   U ARI     
0305+14B  122 COMP W
0305+14C  150 COMP S
0305-10   CP ERI    
0306+47   V410 PER  
0306-24   TW ERI    
0308+46   AA PER    
0309+42   QY PER    
0309+42B  VAR PER   
0309+60   VAR62 CAM 
0309-22   EF ERI    
0310+41   V374 PER  
0310-57   TW HOR    
0311+44   SAO 38709 
0311+70   V667 CAS  
0312+32   GSC2345189
0312+59   NSV 1101  
0313+31   UZ PER    
0313+32   TW PER    
0313+32B  91 COMP SW
0313+32C  93 COMP SE
0313+41   NGC 1275  
0313+60   VAR64 CAM 
0314+28   W ARI     
0314-01   X CET     
0314-01B  90 COMP SE
0314-01B  90 COMP SE
0316+41   V336 PER  
0317-21   VW ERI    
0319+19   SV ARI    
0319+47   V384 PER  
0319-37A  SN 1316 I 
0319-37B  SN 1316 II
0320+43   Y PER     
0320+43B  94 COMP NW
0321+33   NSV 1151  
0322+44   VW PER    
0322-34   VX FOR    
0323+35   R PER     
0323+39   RU PER    
0324+43   GK PER    
0324+43B  91 COMP NW
0324+44   TASV0327+4
0324+58   AF CAM    
0325+42   SAO 38922 
0326-56   RT HOR    
0328-26   RZ FOR    
0329-16   RT ERI    
0329-36   SN 1365   
0330+52   NSV 1199  
0331+00   V711 TAU  
0332-35   SN 1380   
0333+62A  U CAM     
0333+62B  CSV 328   
0333+80   SS CEP    
0334+32   IP PER    
0334+51   V466 PER  
0335+36   AF PER    
0335-55   NSV 1214  
0336-11   VY ERI    
0338+21   V701 TAU  
0338+23   16 TAU    
0338+23B  17 TAU    
0338-47   SN 1433   
0339+22   NSV 1280  
0339+24   21 TAU    
0339+29   OV TAU    
0340+23   23 TAU    
0340+34   SZ PER    
0340+67   CG CAM    
0340-25   U FOR     
0341+23   FL TAU    
0341-24   S FOR     
0341-45   SN 1448   
0342+23   SY TAU    
0342+24   NSV 1316  
0343+22B  NSV 1346  
0343+23   BU TAU    
0343+23B  75 VAR? SE
0343+23C  VAR? W ETA
0343+23D  NSV 1321  
0343+24   II TAU    
0343+38   XY PER    
0343+47   MR PER    
0343-07   BR ERI    
0344+16   V471 TAU  
0345+01   NSV 1381  
0345+32   RX PER    
0346+33   AZ PER    
0346+58   RW CAM    
0346-01   SU ERI    
0346-25   U ERI     
0346-62A  RV RET    
0346-62B  RW RET    
0346-67   RX RET    
0347+07   X TAU     
0347+11   IK TAU    
0347+19   BL TAU    
0347+25   NSV 1391  
0347-57   RY RET    
0348+15   UY TAU    
0348-09   SW ERI    
0348-09B  VAR ERI   
0349+30   X PER     
0349-46   U HOR     
0351-24   T ERI     
0351-55   SV RET    
0352-01   BD 01 565 
0355+12   LAMBDA TAU
0355+19   WW TAU    
0355-82   NSV 1440  
0356+20   AK TAU    
0356+58   RX CAM    
0357+16   TZ TAU    
0357+61   UV CAM    
0357-23   SN 1187   
0357-66   NSV 1432  
0358-55   T RET     
0359-16   V ERI     
0400+53   XX CAM    
0401+06   XY TAU    
0401+06B  121 VAR? S
0401+06C  VAR? W    
0401+47   MX PER    
0401+50   FO PER    
0401-10   CY ERI    
0402+26A  TX TAU    
0402+26B  TV TAU    
0403-55   SS DOR    
0404+41   SW PER    
0404+50   CTM2 PER  
0404+51   FR PER    
0404+51B  9M STAR N 
0404+51C  109 COMP E
0404-08   DD ERI    
0405-82   NSV 1440  
0406-15   XZ ERI    
0407-25   W ERI     
0407-25B  110 COMP E
0408+62   ZZ CAM    
0408-33   SN 1532   
0409+23   NSV 1529  
0409+50   SY PER    
0409-33   SAO 194835
0409-71   VW HYI    
0410-07   OMI2 ERI  
0411+50   NS PER    
0411+55   CI CAM    
0412+28   V410 TAU  
0412+48   AS PER    
0412+57   TW CAM    
0412-25   AU ERI    
0413+21   V724 TAU  
0413+28   BP TAU    
0413-18   RS ERI    
0413-18B  76 COMP   
0413-18C  VAR? NE   
0414+68   SX CAM    
0415+20   V1100 TAU 
0415+28   RY TAU    
0415+28B  96 VAR? W 
0415+32   V518 PER  
0415-02   DQ ERI    
0415-18   AV ERI    
0416+19   T TAU     
0416+19B  108 COMP W
0416-60   ST RET    
0416-62   SN 1559   
0417+22   SAO 76588 
0417-05   RW ERI    
0418-13   AH ERI    
0418-54   RZ DOR    
0418-82   U MEN     
0419+00   PKS0422+00
0419+16   VX TAU    
0419+16B  VAR? W    
0419+16C  STAR C NE 
0420+18   NSV 1597  
0420+25A  DF TAU    
0420+25B  DG TAU    
0421+64   RY CAM    
0422+09   R TAU     
0422+15   W TAU     
0422+39A  GI PER    
0422+39B  GY PER    
0422+48   BM PER    
0422+57   RV CAM    
0423+09   S TAU     
0423+21   NSV 1612  
0423+38   GZ PER    
0423+39   NSV 1624  
0424+18   UX TAU    
0424+25   DK TAU    
0425+17   CSV 6110  
0425+17B  V718 TAU  
0425+18   XZ TAU    
0425+18B  HL TAU    
0426+17   GG TAU    
0426+25   UZ TAU    
0426+25B  BD 25 719 
0426-54   ST DOR    
0427+05   BW TAU    
0427+25   DL TAU    
0430+16   ALPHA TAU 
0430+23   NSV 1663  
0430+26   V833 TAU  
0430+65   T CAM     
0431+18   SZ TAU    
0432+00   NSV 1671  
0432+08   RX TAU    
0432+74   X CAM     
0432-63   R RET     
0432-63B  SU RET    
0433+22   VY TAU    
0433+51   NSV 1665  
0434+50   FY PER    
0435+47   V392 PER  
0435-62   R DOR     
0437+22   NSV 1702  
0437-38   R CAE     
0438-05   SN 1643   
0439+74   NSV 1723  
0440+47   GSC3347149
0440+68   ST CAM    
0441+26   RV TAU    
0441+36   AW PER    
0441+79   XY CAM    
0441-24   NSV 1710  
0442+18   EO ERI    
0442+40   NSV 1725  
0442+40B  HR PER    
0442+42   SV PER    
0442+74   AP CAM    
0443+28   AO TAU    
0443-36   T CAE     
0443-49   R PIC     
0444+66   BD 66 360 
0444-06   SN 1667   
0444-52   NSV 1721  
0444-59   T DOR     
0445+00   HD 30796  
0445+02   EP ORI    
0445+15   BR ORI    
0445+16   NSV 1739  
0445+28   TT TAU    
0445+30   UY AUR    
0445+46   TASV0449+4
0445-55   SU DOR    
0445-76   TU MEN    
0446+14   OMI1 ORI  
0446+17   V TAU     
0446+38   HV AUR    
0446+41   EY AUR    
0446+41B  VAR? NW   
0446+49   AU AUR    
0446+69   CC CAM    
0448+30   GM AUR    
0449+02   PI5 ORI   
0449+07   FG ORI    
0449+10   PI1 ORI   
0449+30A  SU AUR    
0449+30B  AB AUR    
0450+33   NSV 1778  
0450+48A  TV AUR    
0450+48B  97 VAR? S 
0450+48C  92 COMP SW
0450-07   SX ERI    
0450-16   R ERI     
0451+48   TY AUR    
0452+40   AN AUR    
0452+56   TX CAM    
0453+04   UGC 3223  
0453+07   R ORI     
0453+07B  103 COMP E
0453+31   V337 AUR  
0454+39   RX AUR    
0454+43   EPS AUR   
0454-14   V? LEP    
0454-16   NSV 1793  
0455+40   ZETA AUR  
0455+50   EL AUR    
0455-12   S ERI     
0455-14   R LEP     
0456+24   V1062 TAU 
0457+15   GP ORI    
0457+26   HW TAU    
0457+26B  11M* E HW 
0458+51   9 AUR     
0458+55   HD 32456  
0459+35   AQ AUR    
0459-03   UX ORI    
0500+01   W ORI     
0500+01B  61 COMP NW
0500+01C  75 COMP N 
0500+01D  NSV 1806  
0500+03A  V ORI     
0500+03B  NSV 1824  
0500+03C  90 COMP SE
0500+68   UX CAM    
0500-22   T LEP     
0500-22B  121 COMP E
0501+30   RW AUR    
0501+37   DM AUR    
0501-04   AQ ERI    
0502+38   TX AUR    
0502+55   CK CAM    
0503+49   BK AUR    
0503-12   NSV 1842  
0503-71   HD 269006 
0504+31   DU AUR    
0504+45   TMZ V124  
0504-05   SY ERI    
0504-59   TMZ V13   
0504-70   N MEN 91  
0505+42   SY AUR    
0506-05   AR ERI    
0506-05B  STAR A W  
0506-11   RX LEP    
0506-67   HV 5637   
0508+40   UZ AUR    
0508+49   UX AUR    
0508-48   S PIC     
0509+03   EU ORI    
0509+34   AE AUR    
0509+45   ALPHA AUR 
0509+53   R AUR     
0509-08   NSV 1882  
0509-64A  U DOR     
0509-64B  HV 2886   
0510+11   V431 ORI  
0511+00   FN ORI    
0511+35   DY AUR    
0511-00   V1193 ORI 
0511-00B  AKN 120   
0512+30   GS AUR    
0512+33   BS 1732   
0512-47   T PIC     
0513+16   XX TAU    
0513-16   X LEP     
0514-07   NSV 1927  
0514-22   RZ LEP    
0514-66   RY DOR    
0515+32   UV AUR    
0515-33   T COL     
0516+01   GR ORI    
0517-08   IRC 10086 
0518+00   BI ORI    
0518+14   GV ORI    
0518-69   S DOR     
0518-73   RS MEN    
0519+01   NSV 1967  
0519+35   NSV 1971  
0519+50   AC AUR    
0519-06   EX ORI    
0519-69   N LMC 92  
0520+29   SAO 77179 
0520+34A  S AUR     
0520+34B  19 AUR    
0520+34C  VAR NW    
0520+34D  116 COMP W
0520+36   W AUR     
0520-39   SW COL    
0521+07   BD 07 896 
0521+34   OP AUR    
0521+42   Y AUR     
0521-00   DH ORI    
0522+11A  CO ORI    
0522+15   YY TAU    
0522+17   SAO 94573 
